original_text,cleaned_text,rating,sentiment,text_length
mantap editnya,mantap editnya,5,positive,14
thank you bhai,thank you bhai,5,positive,14
"Makin d update makin susah masuk payah apa2 d persulit,enk Ig yg dlu dari pada d update 😏😏",makin d update makin susah masuk payah apa d persulit enk ig yg dlu dari pada d update,1,negative,86
gangguan pelanggan cepet teratasi,gangguan pelanggan cepet teratasi,5,positive,33
sangat bagus,sangat bagus,5,positive,12
ig sangat bagus,ig sangat bagus,5,positive,15
udah enggak bisa live,udah enggak bisa live,4,positive,21
LuMaYaN BaGuS ApLiKaSiNyA Ku ReTiNg 5 BiNtAnG✨🎀,lumayan bagus aplikasinya ku reting bintang,5,positive,43
bagus untuk foto-foto,bagus untuk foto foto,5,positive,21
"saya suka, tapi saat ini saya tidak dapat menggunakan akun saya. Terjadi kesalahan coba beberapa saat lagi. Hal ini sudah terjadi beberapa bulan. Saya bingung, instagram tidak ada memberitahu apapun lewat email prihal ini. Tolong segera direspon.",saya suka tapi saat ini saya tidak dapat menggunakan akun saya terjadi kesalahan coba beberapa saat lagi hal ini sudah terjadi beberapa bulan saya bingung instagram tidak ada memberitahu apapun lewat email prihal ini tolong segera direspon,5,positive,239
gacorr bangg bagus isinyaa,gacorr bangg bagus isinyaa,5,positive,26
"ig sekarang ga kayak dulu, sekarang tiba tiba keluar aplikasi sendiri",ig sekarang ga kayak dulu sekarang tiba tiba keluar aplikasi sendiri,1,negative,68
saya sangat suka walaupun harus di daftar dulu sebenarnya paling sebel soal daftarnya,saya sangat suka walaupun harus di daftar dulu sebenarnya paling sebel soal daftarnya,5,positive,85
bagus banget makin kesini,bagus banget makin kesini,5,positive,25
aplikasi lemot banget jelekk,aplikasi lemot banget jelekk,1,negative,28
sangat bagus,sangat bagus,4,positive,12
sangat puas..!!,sangat puas,5,positive,11
baru mau mulai masuk lagi,baru mau mulai masuk lagi,5,positive,25
ini aplikasi yang bagus kok,ini aplikasi yang bagus kok,5,positive,27
intagram mantap,intagram mantap,5,positive,15
