Model,Skenario,Train_Acc,Test_Acc,Gap_Acc,Overfit_Status,Test_F1,ROC_AUC
Logistic Regression,Baseline,0.8948412698412699,0.8612212529738303,0.03362001686743954,⚠️ CUKUP (gap 3-5%),0.8904195366311835,0.9267135329914978
Naive Bayes,Baseline,0.8781746031746032,0.8675654242664552,0.010609178908147943,✅ AMAN (gap < 3%),0.8923275306254029,0.9241797032343751
SVM,Baseline,0.9103174603174603,0.8667724028548771,0.04354505746258319,⚠️ CUKUP (gap 3-5%),0.89272030651341,0.9194087004800942
Random Forest,Baseline,0.9920634920634921,0.8421887390959556,0.1498747529675365,❌ OVERFITTING (gap > 8%),0.8710304601425793,0.9169891788323156
KNN,Baseline,0.7232142857142857,0.6843774781919112,0.038836807522374506,⚠️ CUKUP (gap 3-5%),0.7961065573770492,0.6813947222312944
Logistic Regression,Threshold (th=0.55),0.8948412698412699,0.8739095955590801,0.020931674282189783,✅ AMAN (gap < 3%),0.8978805394990366,0.9267135329914978
Naive Bayes,Threshold (th=0.45),0.8781746031746032,0.8707375099127677,0.0074370932618355035,✅ AMAN (gap < 3%),0.8961121733588273,0.9241797032343751
SVM,Threshold (th=0.50),0.9103174603174603,0.8643933386201428,0.04592412169731752,⚠️ CUKUP (gap 3-5%),0.8925204274041484,0.9194087004800942
Random Forest,Threshold (th=0.40),0.9920634920634921,0.8437747819191118,0.14828871014438028,❌ OVERFITTING (gap > 8%),0.8792152053954629,0.9169891788323156
KNN,Threshold (th=0.65),0.7232142857142857,0.7081681205392546,0.015046165175031101,✅ AMAN (gap < 3%),0.8029978586723768,0.6813947222312944
Logistic Regression,Threshold+Tuning (th=0.60),0.8291666666666667,0.8691514670896114,-0.03998480042294472,✅ AMAN (gap < 3%),0.8926480156148341,0.9168639842363674
Naive Bayes,Threshold+Tuning (th=0.45),0.881547619047619,0.865979381443299,0.015568237604320023,✅ AMAN (gap < 3%),0.8913183279742766,0.9221493734826959
SVM,Threshold+Tuning (th=0.60),0.8668650793650794,0.8691514670896114,-0.0022863877245320463,✅ AMAN (gap < 3%),0.8937540244687702,0.9219180356423572
Random Forest,Threshold+Tuning (th=0.40),0.9918650793650794,0.838223632038065,0.15364144732701435,❌ OVERFITTING (gap > 8%),0.8748466257668711,0.914087930152302
KNN,Threshold+Tuning (th=0.35),0.7748015873015873,0.7010309278350515,0.07377065946653583,⚠️ WASPADA (gap 5-8%),0.8027210884353742,0.6647302328619485
